	dim1	dim2	pt
E926_539	3.5209808	5.1643376	0.67503
E753_748	5.9804506	6.6136627	0.93726
E14_513	-3.5677576	-0.89674646	0.64241
E138_218	1.2892233	-2.7570152	0.27227
E130_288	2.4491324	1.9567008	0.3601
E24_10	5.0055428	-9.649921	0.01129
E113_21	4.930516	-9.457489	0.02509
E394_718	-7.9583807	-0.3597139	0.89962
E879_410	2.8569672	2.6898215	0.51317
E209_117	3.9381883	-7.0910873	0.14555
E26_243	1.4284225	-2.575113	0.30364
E156_630	4.03778	7.360536	0.78921
E284_31	4.4806447	-9.621685	0.03764
E588_114	3.6260407	-6.8702874	0.14178
E980_584	-3.881304	-1.2122127	0.73149
E255_233	1.8306414	-2.5307317	0.29109
E409_282	1.0585028	-2.7919815	0.35257
E545_466	-5.4215927	-1.4508464	0.58344
E82_253	2.6796448	-5.7488017	0.31619
E930_157	2.3539553	-6.1950583	0.19573
E596_502	-4.4955206	-1.1314343	0.62861
E70_305	1.1442884	-2.2314749	0.38143
E876_108	4.0932775	-7.22547	0.13425
E196_515	-6.7327714	-0.12537898	0.64492
E597_275	1.476059	-1.13824	0.34379
E809_73	4.2056265	-8.230695	0.09034
E471_6	4.9138527	-9.863107	0.00627
E494_134	3.2079537	-6.7244754	0.16688
E174_762	-8.053672	-0.8713926	0.95483
E789_766	-8.316399	-1.5893004	0.95985
E556_37	4.441398	-9.442938	0.04517
E240_75	4.2786517	-7.9858174	0.09285
E884_521	-5.093449	-0.49891615	0.65245
E454_556	-7.121204	-0.50156885	0.69636
E686_712	4.839079	7.2805457	0.8921
E323_635	5.465627	6.49565	0.79548
E381_88	3.4815853	-7.602791	0.10916
E37_414	-1.4381524	-1.2338648	0.51819
E517_173	2.9023046	-5.705354	0.21581
E762_532	4.992107	5.9485555	0.66625
E577_35	4.341278	-9.5145445	0.04266
E33_386	-0.7623573	-1.0157542	0.48306
E764_495	-2.3938282	-0.6897048	0.61982
E544_560	-7.5855203	-0.2633593	0.70138
E948_343	1.8699279	-0.34171623	0.42911
E385_189	2.6197767	-4.7799644	0.23588
E497_716	5.0037766	7.51414	0.89711
E279_55	4.4413223	-8.902053	0.06775
E675_307	0.9450806	-1.7001083	0.38394
E427_239	0.69567406	-3.0460775	0.29862
E693_199	2.381151	-4.4421606	0.24843
E422_382	2.0085695	0.57671916	0.47804
E253_165	2.7125893	-6.3698163	0.20577
E123_586	5.1239505	5.8295116	0.734
E620_676	-7.9182386	-0.025790535	0.84693
E335_31	4.9484167	-9.110299	0.03764
E475_452	-3.1248136	-0.76929986	0.56587
E356_750	4.8532705	7.584749	0.93977
E489_252	2.3678327	-4.1581435	0.31493
E492_52	4.0485015	-8.455747	0.06399
E239_377	3.563771	4.002943	0.47177
E658_133	3.5063047	-7.2736397	0.16562
E180_120	3.008204	-6.626522	0.14931
E71_596	-7.693639	-1.9466869	0.74655
E807_294	1.5044259	-4.1523795	0.36763
E399_782	-8.295131	-0.23114607	0.97992
E749_795	-8.514738	-0.60479385	0.99624
E188_573	-6.579197	-0.03152092	0.71769
E376_302	0.6354083	-2.283016	0.37767
E896_780	-7.61271	0.22098605	0.97742
E611_775	-8.099025	-1.5373652	0.97114
E303_165	2.3932405	-5.0954857	0.20577
E502_65	4.535636	-8.335566	0.0803
E59_3	4.8932614	-9.899613	0.00251
E339_773	5.3307915	6.9557414	0.96863
E484_548	-7.451914	0.083393805	0.68632
E616_630	-8.089943	0.48633623	0.78921
E350_716	4.5201235	7.704199	0.89711
E511_281	0.95875275	-3.0333223	0.35132
E564_26	4.8220873	-9.440847	0.03137
E779_575	-7.335819	-0.024377234	0.7202
E417_789	-3.5144598	-1.3436979	0.98871
E522_577	3.6547425	5.6237893	0.72271
E671_500	-5.8449473	-1.1824847	0.6261
E559_452	-3.0349634	-1.3413604	0.56587
E165_674	-6.94167	-0.49457726	0.84442
E378_16	4.689083	-9.861132	0.01882
E375_118	3.3608255	-6.09224	0.1468
E785_672	4.33298	8.259571	0.84191
E401_255	0.4672797	-0.8472744	0.3187
E434_695	-8.086805	-1.2873893	0.87077
E169_103	3.8260708	-7.3334484	0.12798
E485_534	5.212097	5.99121	0.66876
E99_515	-5.174422	-1.0645809	0.64492
E772_202	2.1834662	-3.9710314	0.2522
E21_240	3.5911124	-5.2185507	0.29987
E415_549	3.8925679	5.4408174	0.68758
E623_558	3.889759	4.8716474	0.69887
E293_436	1.8475497	1.3977776	0.5458
E7_418	-1.1912062	-1.0567206	0.52321
E521_273	2.1174366	-5.0923967	0.34128
E510_680	-8.168901	0.4353962	0.85194
E402_254	1.9319962	-2.952164	0.31744
E625_652	3.86257	7.354898	0.81681
E738_511	4.013125	4.9489446	0.6399
E178_341	2.0009036	-1.1796557	0.4266
E392_232	2.193099	-4.5110517	0.28984
E696_592	3.5073159	5.268313	0.74153
E315_648	-6.3481545	-1.5278392	0.81179
E308_549	-5.053263	-1.217712	0.68758
E127_345	-0.63247806	-1.3252852	0.43162
E319_612	-6.4235845	-1.2953583	0.76662
E5_165	2.8224955	-5.5704536	0.20577
E901_206	2.6151924	-5.3263364	0.25721
E161_707	-7.803273	-1.6716061	0.88582
E472_101	4.628105	-7.285772	0.12547
E934_683	5.41834	6.258419	0.85571
E234_684	5.227715	7.025721	0.85696
E162_205	2.8204808	-4.598126	0.25596
E159_64	4.2693386	-8.062017	0.07905
E870_262	0.57681024	-2.1253648	0.32748
E823_498	3.2290165	4.1701875	0.62359
E950_749	4.9296317	8.362652	0.93852
E205_84	3.9623117	-8.061151	0.10414
E758_315	-0.9090301	-1.3005838	0.39398
E680_10	4.7574444	-9.995316	0.01129
E358_331	1.9254502	0.9151476	0.41405
E647_379	2.525228	1.8929851	0.47428
E747_542	4.2538204	4.9717264	0.6788
E496_573	-6.648314	-0.56673646	0.71769
E575_107	3.5669057	-6.3890085	0.133
E989_659	-7.8603005	0.15380563	0.8256
E850_400	-0.92353034	-1.5363053	0.50063
E526_94	3.8937209	-7.288522	0.11669
E814_779	4.605483	7.709719	0.97616
E172_657	5.1948223	7.7367506	0.82309
